pos[m] eKin rmsX rmsXp rmsY rmsYp rmsZ rmsdp_p  rmsZp phase time eKin x xp y yp z dp_p zp phase0 time0 eKin0 
+3.016066e+000      2.500076  +2.398157e-003 +1.027200e-002 +1.420323e-003 +5.150144e-003 +3.397448e-003 +1.742966e-003 +1.733724e-003 +2.255149e+001 +1.556349e-010 +8.703527e-003 -1.438461e-005 -5.258227e-005 -3.616846e-006 +1.781909e-005 +3.514356e-005 +2.065981e-005 +2.055027e-005 +2.332750e-001 +1.609904e-012 +1.031651e-004 
+3.066377e+000      2.500078  +2.495353e-003 +9.263640e-003 +1.416938e-003 +5.990493e-003 +3.454629e-003 +1.864326e-003 +1.854441e-003 +2.293104e+001 +1.582542e-010 +9.309551e-003 -1.455557e-005 +2.832954e-005 -3.245617e-006 +9.301027e-007 +3.407013e-005 +2.119788e-005 +2.108549e-005 +2.261497e-001 +1.560729e-012 +1.058521e-004 
+3.116810e+000      2.500297  +2.219182e-003 +8.741602e-003 +1.629556e-003 +6.459746e-003 +3.521286e-003 +1.993092e-003 +1.982524e-003 +2.337247e+001 +1.613007e-010 +9.953417e-003 -1.249570e-005 +5.988186e-005 -3.331043e-006 -5.474602e-006 +3.230640e-005 +1.500322e-005 +1.492366e-005 +2.144331e-001 +1.479870e-012 +7.492542e-005 
+3.167286e+000      2.470577  +1.808250e-003 +7.544439e-003 +1.966946e-003 +7.729511e-003 +3.521504e-003 +6.469033e-003 +6.435137e-003 +2.351353e+001 +1.622742e-010 +3.192257e-002 -9.574002e-006 +5.353879e-005 -3.617170e-006 -6.396156e-006 +4.843403e-005 +5.738703e-004 +5.708633e-004 +3.234002e-001 +2.231886e-012 +2.831863e-003 
+3.217698e+000      2.499805  +1.475936e-003 +6.826764e-003 +2.380755e-003 +8.462334e-003 +3.241660e-003 +5.829861e-003 +5.798954e-003 +2.151857e+001 +1.485063e-010 +2.910836e-002 -7.015244e-006 +5.058207e-005 -3.970874e-006 -7.068663e-006 +4.347250e-005 -3.912875e-005 +3.892130e-005 +2.885762e-001 +1.991554e-012 +1.953689e-004 
+3.267816e+000      2.499799  +1.343261e-003 +5.659239e-003 +2.465723e-003 +9.740201e-003 +2.964452e-003 +5.646071e-003 +5.616138e-003 +1.967845e+001 +1.358071e-010 +2.819063e-002 -5.188704e-006 +2.867739e-005 -3.771169e-006 +1.068767e-005 +3.692475e-005 -4.031060e-005 +4.009689e-005 +2.451116e-001 +1.691592e-012 +2.012694e-004 
+3.318269e+000      2.499789  +1.424584e-003 +4.950854e-003 +2.182479e-003 +1.049763e-002 +2.698245e-003 +5.438669e-003 +5.409835e-003 +1.791136e+001 +1.236119e-010 +2.715496e-002 -4.078108e-006 +1.302574e-005 -2.960343e-006 +2.369138e-005 +2.997327e-005 -4.249503e-005 +4.226975e-005 +1.989672e-001 +1.373134e-012 +2.121753e-004 
+3.368346e+000      2.499774  +1.645325e-003 +5.163385e-003 +1.667086e-003 +1.023639e-002 +2.445222e-003 +5.216592e-003 +5.188936e-003 +1.623180e+001 +1.120207e-010 +2.604599e-002 -3.417447e-006 +1.365407e-005 -1.768224e-006 +2.400019e-005 +2.231407e-005 -4.534842e-005 +4.510801e-005 +1.481246e-001 +1.022254e-012 +2.264208e-004 
+3.418702e+000      2.499758  +1.730209e-003 +3.943053e-003 +1.305467e-003 +6.142920e-003 +2.207495e-003 +4.939768e-003 +4.913580e-003 +1.465378e+001 +1.011303e-010 +2.466367e-002 -2.435610e-006 +2.275009e-005 -6.596126e-007 +2.143469e-005 +1.602044e-005 -4.864570e-005 +4.838780e-005 +1.063468e-001 +7.339322e-013 +2.428822e-004 
+3.468755e+000      2.499743  +1.707315e-003 +3.207723e-003 +1.134692e-003 +4.091768e-003 +2.020897e-003 +4.603946e-003 +4.579539e-003 +1.341515e+001 +9.258212e-011 +2.298682e-002 -1.121545e-006 +2.790700e-005 +3.268889e-007 +1.934549e-005 +1.086351e-005 -5.172531e-005 +5.145110e-005 +7.211430e-002 +4.976832e-013 +2.582568e-004 
